time,current
2018-01-24T09:33:42.740097Z,0.3588363
2018-01-24T09:33:42.789496Z,0.3245723
2018-01-24T09:33:42.828346Z,0.3751531
2018-01-24T09:33:42.868418Z,0.3237711
2018-01-24T09:33:42.908800Z,0.3579769
2018-01-24T09:33:42.948245Z,0.3766164
2018-01-24T09:33:42.986993Z,0.3233796
2018-01-24T09:33:43.023788Z,0.3752454
2018-01-24T09:33:43.064711Z,0.3240928
2018-01-24T09:33:43.102745Z,0.3309763
2018-01-24T09:33:43.151658Z,0.3743851
2018-01-24T09:33:43.189895Z,0.3236825
2018-01-24T09:33:43.227812Z,0.3535882
2018-01-24T09:33:43.265854Z,0.3680691
2018-01-24T09:33:43.304328Z,0.3383636
2018-01-24T09:33:43.344157Z,0.3459416
2018-01-24T09:33:43.384267Z,0.34133
2018-01-24T09:33:43.424730Z,0.3551109
2018-01-24T09:33:43.466925Z,0.3745223
2018-01-24T09:33:43.506430Z,0.3475734
2018-01-24T09:33:43.546027Z,0.3258993
2018-01-24T09:33:43.583969Z,0.370643
2018-01-24T09:33:43.625740Z,0.3499173
2018-01-24T09:33:43.665733Z,0.3501855
2018-01-24T09:33:43.704793Z,0.3612202
2018-01-24T09:33:43.743859Z,0.3241102
2018-01-24T09:33:43.799145Z,0.3728401
2018-01-24T09:33:43.840309Z,0.3241021
2018-01-24T09:33:43.880590Z,0.3583944
2018-01-24T09:33:43.920200Z,0.3758565
2018-01-24T09:33:43.960599Z,0.3236369
2018-01-24T09:33:44.000458Z,0.376215
2018-01-24T09:33:44.040882Z,0.346175
2018-01-24T09:33:44.080671Z,0.3267964
2018-01-24T09:33:44.134934Z,0.375058
2018-01-24T09:33:44.174245Z,0.3241475
2018-01-24T09:33:44.214457Z,0.3767735
2018-01-24T09:33:44.252655Z,0.3469622
2018-01-24T09:33:44.290206Z,0.3241832
2018-01-24T09:33:44.330370Z,0.3748593
2018-01-24T09:33:44.370555Z,0.3245032
2018-01-24T09:33:44.410480Z,0.3646672
2018-01-24T09:33:44.448170Z,0.3750754
2018-01-24T09:33:44.497324Z,0.3388571
2018-01-24T09:33:44.536566Z,0.3619327
2018-01-24T09:33:44.576620Z,0.3270588
2018-01-24T09:33:44.614470Z,0.3599397
2018-01-24T09:33:44.652656Z,0.3755075
2018-01-24T09:33:44.692294Z,0.3251288
